;FO;VOGS_2015;INDPRICE_2015;CHANHENUM_2015;INPHISVALUE_2014;DAMAGES_2014
Белгородская область;ЦФО;543650;111;99.9;102.8;9031
Брянская область;ЦФО;162731;112.8;97.9;103.5;3169
Владимирская область;ЦФО;358688;114.7;99.6;100.8;13879
Воронежская область;ЦФО;384015;110.6;99.7;105.9;5634
Ивановская область;ЦФО;90730;108.9;98.8;89.9;3535
Калужская область;ЦФО;441634;112.5;99.3;103.1;30685
Костромская область;ЦФО;101294;111.7;98.8;100.4;1717
Курская область;ЦФО;141933;120;99.6;104.5;1253
Липецкая область;ЦФО;526836;109.1;99.8;105.1;7203
Московская область;ЦФО;1945571;111.9;101;100.1;87762
Орловская область;ЦФО;99769;116.1;99;101.4;1496
Рязанская область;ЦФО;224499;113.7;99.6;99;6219
Смоленская область;ЦФО;163516;108.9;99.9;100.4;4660
Тамбовская область;ЦФО;122325;113.6;99.6;105.7;1797
Тверская область;ЦФО;181183;110.4;99.1;98.9;12167
Тульская область;ЦФО;509855;112.7;99.1;105.8;11306
Ярославская область;ЦФО;289256;111.4;99.2;101.9;14427
г. Москва;ЦФО;4789573;117.8;99.8;100.2;234845
Республика Карелия;СЗФО;70932;115.8;97.6;100.1;6288
Республика Коми;СЗФО;172653;110.6;98.1;95.7;6155
Ненецкий автономный округ;СЗФО;12416;112.4;99.8;103.6;1
Архангельская область;СЗФО;158046;123.8;99.1;101.1;2807
Вологодская область;СЗФО;481840;113.3;100;103;48210
Калининградская область;СЗФО;399181;107.2;99.2;104.6;21777
Ленинградская область;СЗФО;819045;112.6;99.5;100.2;45421
Мурманская область;СЗФО;139306;120.3;97.4;101.3;955
Новгородская область;СЗФО;188070;112.2;99;105.2;13514
Псковская область;СЗФО;75381;104.7;99.2;99.5;5850
г. Санкт-Петербург;СЗФО;1978634;114.3;99.9;101;72031
Республика Адыгея;ЮФО;40835;116;99;103.8;1107
Республика Калмыкия;ЮФО;833;99.4;99.4;104.7;4
Краснодарский край;ЮФО;784407;115.8;100;100.7;24872
Астраханская область;ЮФО;58712;92.4;99.6;100.5;1329
Волгоградская область;ЮФО;615811;108.8;99.3;104.7;10170
Ростовская область;ЮФО;606578;111.6;99.6;103.2;15260
Республика Дагестан;СКФО;29663;108.5;98.8;106.3;5139
Республика Ингушетия;СКФО;3184;103.5;102.1;105.5;2501
Кабардино-Балкарская Республика;СКФО;32220;117.1;99.6;101.6;1420
Карачаево-Черкесская Республика;СКФО;27932;107.6;98.3;98;1167
Республика Северная Осетия – Алания;СКФО;20227;113;98.9;101.5;153
Ставропольский край;СКФО;241694;117.2;99.8;104.3;10091
Республика Башкортостан ;ПФО;954489;108.6;99.9;101.9;26625
Республика Марий Эл;ПФО;133177;110;99.4;106;7064
Республика Мордовия;ПФО;129686;108.8;98.2;108.1;4990
Республика Татарстан;ПФО;1315418;112.9;99.7;102.1;51336
Удмуртская Республика ;ПФО;251940;107.8;98.7;101;14696
Чувашская Республика;ПФО;146595;112.6;98.4;100.2;10950
Пермский край ;ПФО;869553;111.3;98.7;103.3;12228
Кировская область;ПФО;178274;103.5;98.9;102.2;3493
Нижегородская область;ПФО;1073471;111.8;98.4;102.9;32960
Оренбургская область ;ПФО;264387;111.9;97.6;99.3;9163
Пензенская область;ПФО;162587;105.9;99.8;103.5;10655
Самарская область;ПФО;868213;112.7;99.8;101.9;50421
Саратовская область;ПФО;327860;114.1;99;100.3;9296
Ульяновская область;ПФО;225799;115.8;98.6;100.5;9721
Курганская область ;УФО;84115;108.6;99;97.1;5228
Свердловская область ;УФО;1526562;113.9;99.8;100.1;90210
Ханты-Мансийский автономный округ – Югра;УФО;419197;107.7;99.7;98.7;958
Ямало-Ненецкий автономный округ;УФО;294840;125.4;99.6;105.7;131
Тюменская область ;УФО;598962;83.2;99.7;83.5;55539
Челябинская область ;УФО;1131825;111.1;99.2;102.8;22678
Республика Алтай ;СФО;4706;108;101.7;108.4;30
Республика Бурятия;СФО;85122;114.4;99.5;98.3;2003
Республика Тыва;СФО;765;108;100.4;104.6;14
Республика Хакасия;СФО;88469;112.9;98.8;101.9;4022
Алтайский край ;СФО;242269;110.7;100.3;100.4;2826
Забайкальский край;СФО;21152;118.4;99;94.2;4269
Красноярский край;СФО;896235;115.7;99.3;101;5806
Иркутская область;СФО;442813;114.1;101.4;104.8;21208
Кемеровская область ;СФО;461802;100.9;96.9;102.1;46200
Новосибирская область ;СФО;365583;111.3;98.5;102.5;8235
Омская область ;СФО;700323;106.5;99.7;102;5372
Томская область ;СФО;158208;117.2;98.4;100.2;7293
Республика Саха (Якутия);ДФО;32536;111.5;100;103.2;2497
Камчатский край;ДФО;69083;139.5;100.5;100.9;1434
Приморский край;ДФО;183179;116.7;99.6;101.3;6880
Хабаровский край;ДФО;200113;113.8;98.9;101;36098
Амурская область;ДФО;28671;122.1;99.3;103.1;213
Магаданская область;ДФО;3633;112.2;98.7;103;551
Сахалинская область;ДФО;43092;128.2;99.4;100.7;460
Еврейская автономная область;ДФО;4369;105.1;99.6;100.6;68
Чукотский автономный округ;ДФО;728;104;98.8;114.9;47
